Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,2951.000000,2984.000000,2905.000000,2950.000000,2939.286621,1259200
2023-03-02,2923.000000,2967.000000,2923.000000,2965.000000,2954.232422,1437100
2023-03-03,3005.000000,3060.000000,2991.000000,3050.000000,3038.923584,2057900
2023-03-06,3065.000000,3110.000000,3055.000000,3080.000000,3068.814697,1324700
2023-03-07,3065.000000,3125.000000,3050.000000,3105.000000,3093.723633,1549700
2023-03-08,3110.000000,3145.000000,3050.000000,3075.000000,3063.832764,1756000
2023-03-09,3105.000000,3165.000000,3100.000000,3155.000000,3143.542236,1959100
2023-03-10,3105.000000,3120.000000,3060.000000,3060.000000,3048.887207,2839700
2023-03-13,3050.000000,3095.000000,3005.000000,3050.000000,3038.923584,1556700
2023-03-14,3020.000000,3025.000000,2936.000000,2967.000000,2956.224854,1804700
2023-03-15,2975.000000,3000.000000,2931.000000,2949.000000,2938.290283,1594500
2023-03-16,2919.000000,2995.000000,2913.000000,2984.000000,2973.163330,1645800
2023-03-17,3035.000000,3045.000000,2996.000000,3025.000000,3014.014404,1673200
2023-03-20,3025.000000,3040.000000,2967.000000,2969.000000,2958.217529,1315600
2023-03-22,3000.000000,3035.000000,2942.000000,2980.000000,2969.177734,2412700
2023-03-23,2948.000000,3015.000000,2919.000000,2998.000000,2987.112305,1504100
2023-03-24,2987.000000,2995.000000,2947.000000,2995.000000,2984.123291,1283600
2023-03-27,3030.000000,3120.000000,3020.000000,3105.000000,3093.723633,1376300
2023-03-28,3095.000000,3105.000000,3015.000000,3040.000000,3028.959961,1410700
2023-03-29,3040.000000,3130.000000,3035.000000,3120.000000,3108.669434,1646100
2023-03-30,3120.000000,3155.000000,3085.000000,3125.000000,3113.651123,1761100
2023-03-31,3175.000000,3195.000000,3140.000000,3155.000000,3143.542236,2537600
2023-04-03,3185.000000,3220.000000,3160.000000,3170.000000,3158.487793,1310600
2023-04-04,3160.000000,3190.000000,3140.000000,3165.000000,3153.506104,1535100
2023-04-05,3185.000000,3245.000000,3150.000000,3175.000000,3163.469727,1835600
2023-04-06,3175.000000,3220.000000,3115.000000,3130.000000,3118.633057,1778000
2023-04-07,3150.000000,3165.000000,3070.000000,3110.000000,3098.705566,1570600
2023-04-10,3130.000000,3200.000000,3110.000000,3130.000000,3118.633057,1307100
2023-04-11,3150.000000,3200.000000,3145.000000,3155.000000,3143.542236,1608400
2023-04-12,3150.000000,3170.000000,3135.000000,3165.000000,3153.506104,1501500
2023-04-13,3140.000000,3170.000000,3115.000000,3125.000000,3113.651123,1569900
2023-04-14,3165.000000,3175.000000,3120.000000,3160.000000,3148.523926,1991700
2023-04-17,3160.000000,3165.000000,3125.000000,3160.000000,3148.523926,1297800
2023-04-18,3160.000000,3225.000000,3155.000000,3220.000000,3208.306152,1627200
2023-04-19,3220.000000,3275.000000,3210.000000,3260.000000,3248.160889,1894900
2023-04-20,3230.000000,3235.000000,3200.000000,3215.000000,3203.324463,1269600
2023-04-21,3215.000000,3240.000000,3165.000000,3170.000000,3158.487793,1228700
2023-04-24,3155.000000,3170.000000,3090.000000,3110.000000,3098.705566,1348700
2023-04-25,3105.000000,3125.000000,3040.000000,3060.000000,3048.887207,1622600
2023-04-26,3030.000000,3060.000000,2993.000000,3035.000000,3023.978027,1737400
2023-04-27,3015.000000,3040.000000,3005.000000,3030.000000,3018.996094,1105500
2023-04-28,3035.000000,3080.000000,3015.000000,3070.000000,3058.851074,1802400
2023-05-01,3100.000000,3115.000000,3080.000000,3100.000000,3088.741943,1388200
2023-05-02,3115.000000,3145.000000,3080.000000,3130.000000,3118.633057,1239500
2023-05-08,3105.000000,3165.000000,2999.000000,3015.000000,3004.050781,2295100
2023-05-09,3010.000000,3085.000000,3005.000000,3055.000000,3043.905273,2400300
2023-05-10,3045.000000,3045.000000,2992.000000,3005.000000,2994.086914,1425300
2023-05-11,2982.000000,2996.000000,2956.000000,2970.000000,2959.214111,1847600
2023-05-12,2970.000000,3060.000000,2921.000000,2975.000000,2964.196045,3702500
2023-05-15,2995.000000,3025.000000,2961.000000,3010.000000,2999.068604,1835400
2023-05-16,3045.000000,3045.000000,3005.000000,3015.000000,3004.050781,1841400
2023-05-17,3000.000000,3035.000000,2998.000000,3020.000000,3009.032471,1779400
2023-05-18,3010.000000,3030.000000,2980.000000,3020.000000,3009.032471,1912600
2023-05-19,3090.000000,3110.000000,3045.000000,3065.000000,3053.869141,1663900
2023-05-22,3065.000000,3070.000000,3015.000000,3030.000000,3018.996094,1578300
2023-05-23,3065.000000,3085.000000,3035.000000,3075.000000,3063.832764,2231900
2023-05-24,3090.000000,3120.000000,3030.000000,3055.000000,3043.905273,1850300
2023-05-25,3015.000000,3020.000000,2950.000000,2964.000000,2953.235840,1700800
2023-05-26,2950.000000,2965.000000,2924.000000,2945.000000,2934.304932,1639800
2023-05-29,2995.000000,2995.000000,2935.000000,2938.000000,2927.330322,1618200
2023-05-30,2911.000000,2940.000000,2902.000000,2920.000000,2909.395752,1958700
2023-05-31,2870.000000,2914.000000,2833.000000,2846.000000,2835.664307,10967100
2023-06-01,2861.000000,2908.000000,2824.000000,2900.000000,2889.468262,2857400
2023-06-02,2901.000000,2934.000000,2884.000000,2913.000000,2902.421143,1798700
2023-06-05,2948.500000,2965.500000,2916.000000,2960.500000,2949.748779,1919100
2023-06-06,2927.000000,2973.500000,2918.000000,2968.000000,2957.221436,1467300
2023-06-07,2988.000000,3028.000000,2937.000000,2941.500000,2930.817627,2269300
2023-06-08,2899.500000,2912.000000,2733.500000,2747.500000,2737.521973,2526900
2023-06-09,2797.500000,2856.000000,2776.500000,2849.000000,2838.653564,3303900
2023-06-12,2864.500000,2896.500000,2850.000000,2863.500000,2853.100830,1183300
2023-06-13,2888.500000,2927.000000,2836.000000,2920.500000,2909.893799,1665500
2023-06-14,2940.500000,2995.500000,2926.500000,2968.500000,2957.719482,2077000
2023-06-15,2966.000000,2991.500000,2921.500000,2923.500000,2912.882813,1511500
2023-06-16,2918.500000,2976.000000,2911.000000,2961.500000,2950.744873,2642900
2023-06-19,2961.500000,3005.000000,2944.500000,2978.500000,2967.683105,1366800
2023-06-20,2960.000000,2960.000000,2914.500000,2953.000000,2942.275635,1821400
2023-06-21,2917.500000,2926.500000,2825.500000,2860.000000,2849.613525,2309100
2023-06-22,2853.500000,2876.500000,2833.000000,2835.000000,2824.704346,1567600
2023-06-23,2839.000000,2854.500000,2782.000000,2798.500000,2788.336914,1673800
2023-06-26,2802.000000,2815.000000,2765.500000,2771.500000,2761.434814,1270700
2023-06-27,2788.500000,2798.500000,2722.500000,2773.500000,2763.427734,2064400
2023-06-28,2780.000000,2802.500000,2759.500000,2802.000000,2791.824219,2121000
2023-06-29,2820.000000,2855.000000,2775.500000,2794.000000,2788.829834,3005100
2023-06-30,2774.000000,2774.000000,2724.000000,2747.000000,2741.916748,2034700
2023-07-03,2750.000000,2766.000000,2726.500000,2726.500000,2721.454590,1031900
2023-07-04,2704.000000,2708.000000,2649.500000,2674.500000,2669.550781,1630800
2023-07-05,2660.000000,2686.000000,2655.000000,2667.500000,2662.563721,1543200
2023-07-06,2644.500000,2658.500000,2606.500000,2617.000000,2612.157227,2118400
2023-07-07,2581.000000,2619.500000,2568.000000,2583.500000,2578.719238,1944000
2023-07-10,2564.000000,2612.000000,2546.000000,2596.000000,2591.196045,3061200
2023-07-11,2610.500000,2676.000000,2607.000000,2651.000000,2646.094482,2320200
2023-07-12,2696.000000,2723.500000,2683.000000,2700.000000,2695.003662,2838700
2023-07-13,2718.000000,2793.000000,2710.000000,2789.500000,2784.338135,2570600
2023-07-14,2766.500000,2811.500000,2756.500000,2786.000000,2780.844482,2594100
2023-07-18,2772.000000,2790.000000,2763.000000,2774.000000,2768.866699,1545200
2023-07-19,2800.000000,2808.500000,2772.500000,2786.000000,2780.844482,1451800
2023-07-20,2790.000000,2794.000000,2703.500000,2706.000000,2700.992676,2170200
2023-07-21,2709.000000,2726.500000,2693.000000,2710.000000,2704.985107,2058200
2023-07-24,2737.500000,2762.500000,2709.000000,2725.500000,2720.456543,1841400
2023-07-25,2689.500000,2699.500000,2637.000000,2657.000000,2652.083252,2385200
2023-07-26,2667.500000,2676.000000,2620.000000,2665.000000,2660.068359,1911300
2023-07-27,2627.000000,2674.000000,2619.000000,2674.000000,2669.051758,2369600
2023-07-28,2627.000000,2669.500000,2595.500000,2669.500000,2664.560059,8954700
2023-07-31,2717.500000,2728.000000,2678.000000,2710.500000,2705.484375,2261500
2023-08-01,2701.500000,2707.500000,2660.000000,2673.500000,2668.552734,1318600
2023-08-02,2647.000000,2647.000000,2594.500000,2602.000000,2597.185059,2299300
2023-08-03,2566.500000,2609.000000,2547.500000,2556.500000,2551.769287,1841000
2023-08-04,2549.000000,2561.500000,2519.000000,2547.500000,2542.785889,1226100
2023-08-07,2472.000000,2550.500000,2443.500000,2546.000000,2541.288574,2319300
2023-08-08,2538.500000,2544.000000,2495.000000,2495.000000,2490.383057,1885200
2023-08-09,2498.000000,2517.500000,2477.000000,2509.000000,2504.357178,2070200
2023-08-10,2790.000000,2845.500000,2728.000000,2766.500000,2761.380615,6606000
2023-08-14,2811.500000,2838.000000,2731.500000,2761.500000,2756.389893,3272500
2023-08-15,2794.000000,2833.500000,2737.000000,2740.500000,2735.428711,2465500
2023-08-16,2771.000000,2785.000000,2718.500000,2754.000000,2748.903809,2203700
