챔피언,승률(%),픽률(%),밴율(%),플레이수
벨코즈,50.58,2.99,0.53,"783,533"
하이머딩거,51.13,2.89,1.58,"758,227"
탐 켄치,49.62,2.88,0.97,"755,737"
우르곳,50.87,2.88,1.13,"754,238"
닐라,52.94,2.59,4.59,"679,959"
키아나,48.11,2.56,0.52,"670,313"
애니비아,51.02,2.53,2.44,"662,936"
럼블,47.54,2.52,0.8,"660,602"
직스,50.56,2.51,0.25,"658,339"
조이,48.95,2.44,1.06,"640,564"
질리언,50.81,2.35,0.55,"617,008"
나르,47.92,2.32,0.47,"609,431"
엘리스,49.78,2.23,3.8,"583,994"
갈리오,49.85,2.18,0.32,"572,074"
쉬바나,50.49,2.14,0.37,"562,550"
브라움,49.86,2.14,0.3,"560,468"
클레드,51.77,2.12,1.47,"555,453"
퀸,50.85,2.01,0.92,"526,840"
신지드,51.93,1.91,0.33,"500,186"
오리아나,49.35,1.9,0.17,"498,479"
칼리스타,45.69,1.75,0.46,"458,399"
라이즈,47.75,1.7,0.22,"445,953"
카사딘,49.21,1.61,2.11,"421,506"
바드,49.14,1.6,0.21,"418,982"
아지르,48.02,1.59,0.27,"418,074"
렉사이,50.55,1.54,1.75,"404,102"
타릭,51.94,1.51,0.23,"396,905"
렐,50.24,1.44,0.33,"376,425"
레나타 글라스크,50.37,1.28,0.37,"336,467"
아이번,50.37,1.28,0.51,"336,202"
탈리야,49.73,1.09,0.13,"286,482"
코르키,46.22,0.86,0.13,"226,559"
스카너,50.78,0.67,0.11,"176,432"
